Date,Benchmark,,,G20,,,G40,,,G60,,,G80,,,G100,,
30/06/2006,0,100,,0,100,,0,100,,0,100,,0,100,,0,100,
07/07/2006,"-0,013322057","99,98667794","-0,013322057","1,099110306","101,0991103","1,099110306","1,076108364","101,0761084","1,076108364","0,926959077","100,9269591","0,926959077","0,749846903","100,7498469","0,749846903","0,606016806","100,6060168","0,606016806"
14/07/2006,"-3,364976976","96,63502302","-3,352101488","-0,685239502","99,3147605","-1,764951049","-0,891280321","99,10871968","-1,946442851","-0,850417638","99,14958236","-1,761052479","-1,114602572","98,88539743","-1,850573011","-1,427091726","98,57290827","-2,02086177"
21/07/2006,"-2,964433111","97,03556689","0,4144914054","-0,888652305","99,1113477","-0,2048162851","-1,018399209","98,98160079","-0,1282620625","-0,89981986","99,10018014","-0,04982595067","-0,724216297","99,2757837","0,3947865763","-1,063453344","98,93654666","0,3689029657"
28/07/2006,"0,713094175","100,7130942","3,789875614","2,280732129","102,2807321","3,197801773","2,76787284","102,7678728","3,825228142","3,259062673","103,2590627","4,196644776","3,314679385","103,3146794","4,068359404","2,790758334","102,7907583","3,895639992"
04/08/2006,"1,340124029","101,340124","0,6225901996","3,07041676","103,0704168","0,7720756535","4,035681015","104,035681","1,23366198","4,264999473","104,2649995","0,9741874214","3,942015595","103,9420156","0,6072091727","3,231983665","103,2319837","0,4292461094"
11/08/2006,"0,112522682","100,1125227","-1,21136752","2,297975353","102,2979754","-0,7494307594","3,514167645","103,5141676","-0,5012831799","3,879670736","103,8796707","-0,3695667184","3,570738397","103,5707384","-0,3571964579","2,807905587","102,8079056","-0,410801055"
18/08/2006,"2,941255753","102,9412558","2,825553682","3,488711758","103,4887118","1,163988242","4,68543165","104,6854317","1,131501157","5,260289904","105,2602899","1,329056165","5,112151217","105,1121512","1,488270571","4,770315459","104,7703155","1,908812227"
25/08/2006,"2,222519269","102,2225193","-0,6982006182","3,126316628","103,1263166","-0,3501784145","4,864878417","104,8648784","0,1714152238","5,135937499","105,1359375","-0,1181380035","5,254703861","105,2547039","0,1356195667","5,054949564","105,0549496","0,2716743801"
01/09/2006,"3,797127661","103,7971277","1,540373299","5,5753281","105,5753281","2,374768684","6,426212579","106,4262126","1,488900941","6,530903543","106,5309035","1,32682133","6,467013184","106,4670132","1,151786361","6,426610014","106,42661","1,305659996"
08/09/2006,"2,253486608","102,2534866","-1,487171262","3,390659017","103,390659","-2,069298881","5,237732075","105,2377321","-1,116717842","5,207577009","105,207577","-1,242199672","5,13753977","105,1375398","-1,248718616","5,023130018","105,02313","-1,31873034"
